category,state,price,year,avg_rating,business_suggestion
Masonry supply store,NH,*,2020,2.00,Not recommended
Gastropub,WA,***,2020,4.41,Recommended
Health food restaurant,NM,**,2017,4.71,Highly recommended
Donut shop,NM,**,2016,4.84,Highly recommended
Boat cover supplier,AL,**,2017,4.49,Recommended
Fruit and vegetable store,WA,**,2021,4.12,Recommended
Marina,WA,**,2018,4.31,Recommended
Catering,NM,**,2016,2.50,Discreet
Ethiopian restaurant,WA,**,2019,4.00,Recommended
Novelty store,NM,**,2018,4.46,Recommended
Internet cafe,MS,*,2019,3.64,Recommended
Lawn mower repair service,AL,**,2017,3.00,Discreet
Greek restaurant,WA,*,2018,4.42,Recommended
Men's clothing store,NM,***,2017,4.08,Recommended
Asian fusion restaurant,NM,**,2019,4.42,Recommended
Computer repair service,WA,**,2019,3.22,Discreet
Down home cooking restaurant,AL,*,2015,4.62,Highly recommended
Korean restaurant,MS,*,2018,4.67,Highly recommended
Uniform store,AL,**,2016,4.96,Highly recommended
Diamond dealer,AL,**,2021,3.64,Recommended
Fashion accessories store,Unknown,***,2018,4.21,Recommended
Australian restaurant,MS,**,2019,4.20,Recommended
Pie shop,AL,**,2018,4.31,Recommended
Creole restaurant,MS,*,2018,4.74,Highly recommended
Window installation service,MS,**,2021,2.50,Discreet
Packaging supply store,MS,*,2020,3.95,Recommended
Storage facility,WA,*,2016,4.13,Recommended
Thai restaurant,MS,*,2019,4.53,Highly recommended
Baby store,WA,**,2016,3.98,Recommended
Mobile caterer,Unknown,*,2020,4.78,Highly recommended
Baby store,NH,**,2019,3.60,Recommended
Garden center,NH,**,2018,4.52,Highly recommended
Diner,WA,*,2020,4.19,Recommended
Furniture store,MS,***,2015,4.00,Recommended
Hot dog stand,AL,*,2018,4.31,Recommended
Asian restaurant,NH,**,2019,4.27,Recommended
Organic restaurant,NH,***,2019,4.78,Highly recommended
Liquor store,Unknown,*,2019,4.35,Recommended
Recreation center,AL,**,2019,3.57,Recommended
Pasta shop,AL,*,2016,4.52,Highly recommended
Car wash,NH,*,2017,4.00,Recommended
Barbecue restaurant,NM,**,2020,4.26,Recommended
Rug store,AL,**,2019,4.46,Recommended
Restaurant,WA,*,2016,3.82,Recommended
Tuxedo shop,MS,***,2016,2.00,Not recommended
Children's party service,AL,**,2017,4.16,Recommended
Laotian restaurant,NM,**,2017,4.62,Highly recommended
Diner,MS,**,2020,4.02,Recommended
Health,MS,*,2017,5.00,Highly recommended
Business to business service,WA,*,2015,4.00,Recommended
Marble supplier,WA,*,2019,4.13,Recommended
Brunch restaurant,MS,**,2015,3.61,Recommended
Donut shop,NH,*,2015,3.16,Discreet
Home theater store,AL,**,2015,3.07,Discreet
Men's clothing store,AL,**,2019,4.21,Recommended
African restaurant,NM,**,2018,4.68,Highly recommended
Baby clothing store,NM,**,2017,4.02,Recommended
Dim sum restaurant,MS,**,2016,3.57,Recommended
Toy store,WA,**,2021,4.23,Recommended
Supermarket,MS,**,2021,4.08,Recommended
Kitchen furniture store,AL,**,2018,4.50,Recommended
Gyro restaurant,WA,*,2019,4.35,Recommended
Tuxedo shop,AL,**,2017,3.56,Recommended
Northern Italian restaurant,NH,**,2016,4.55,Highly recommended
Blueprint service,WA,**,2021,5.00,Highly recommended
Exhibit,WA,**,2021,4.97,Highly recommended
Office furniture store,NM,**,2021,4.23,Recommended
Mailbox rental service,AL,**,2017,5.00,Highly recommended
Bridal shop,NH,***,2015,3.30,Discreet
Massage spa,WA,*,2017,3.33,Discreet
Thai restaurant,NM,*,2016,4.44,Recommended
Cell phone store,AL,*,2015,3.75,Recommended
Chinese takeaway,WA,*,2019,4.25,Recommended
Swimwear store,NM,*,2020,4.35,Recommended
Convenience store,MS,*,2016,3.86,Recommended
Produce wholesaler,MS,*,2015,3.59,Recommended
Glassware store,NH,**,2017,4.28,Recommended
Delivery service,WA,*,2020,4.12,Recommended
Swimming pool supply store,MS,**,2017,3.48,Discreet
Electrical repair shop,NM,**,2017,4.50,Recommended
Logistics service,WA,**,2016,3.43,Discreet
Women's clothing store,WA,***,2015,3.25,Discreet
Produce wholesaler,AL,*,2018,4.17,Recommended
Plus size clothing store,MS,***,2016,4.11,Recommended
Wine store,WA,*,2021,4.71,Highly recommended
Lumber store,WA,**,2019,4.83,Highly recommended
Telecommunications service provider,NM,**,2018,4.05,Recommended
Kitchen supply store,WA,***,2019,4.23,Recommended
Soup restaurant,NM,**,2021,4.14,Recommended
Grill,NM,**,2017,4.50,Recommended
Nepalese restaurant,NM,**,2018,4.58,Highly recommended
Tool store,AL,**,2015,4.07,Recommended
Gift shop,AL,***,2019,4.37,Recommended
Business to business service,NM,**,2015,3.52,Recommended
Gluten-free restaurant,NM,**,2019,4.17,Recommended
Home improvement store,MS,**,2017,4.57,Highly recommended
Building materials store,WA,**,2020,4.67,Highly recommended
Boat tour agency,AL,**,2017,4.22,Recommended
Fabric store,MS,**,2018,4.46,Recommended
Brewery,AL,**,2017,3.93,Recommended
Lunch restaurant,NM,*,2015,3.27,Discreet
Toy store,NM,*,2017,3.91,Recommended
Appliance repair service,WA,**,2017,4.33,Recommended
Tobacco shop,NH,*,2016,3.93,Recommended
Furnace repair service,NH,**,2020,4.02,Recommended
Gay bar,AL,*,2017,3.84,Recommended
Landscaping supply store,MS,*,2018,4.24,Recommended
Building materials supplier,MS,**,2021,3.81,Recommended
Electrical supply store,NH,**,2021,4.00,Recommended
Beer store,WA,**,2020,4.52,Highly recommended
Car battery store,MS,*,2015,2.43,Discreet
Knit shop,MS,**,2018,4.27,Recommended
South Asian restaurant,NH,**,2020,3.91,Recommended
Greek restaurant,AL,*,2015,4.70,Highly recommended
Mexican restaurant,Unknown,*,2018,4.65,Highly recommended
Chinese takeaway,WA,***,2018,3.97,Recommended
Health food store,MS,*,2019,4.33,Recommended
Lawn equipment rental service,AL,*,2021,4.10,Recommended
Pawn shop,WA,**,2020,3.27,Discreet
Wedding venue,NM,***,2019,4.38,Recommended
Craft store,WA,**,2018,4.27,Recommended
Baby store,AL,*,2019,4.68,Highly recommended
Restaurant,NM,****,2017,4.42,Recommended
Agricultural service,NM,**,2019,4.77,Highly recommended
Animal feed store,NM,**,2016,4.38,Recommended
Asian fusion restaurant,Unknown,**,2019,4.01,Recommended
American restaurant,NM,*,2016,3.71,Recommended
Small engine repair service,MS,***,2018,4.50,Recommended
Tool store,NM,**,2015,3.93,Recommended
Cheese shop,AL,**,2019,4.74,Highly recommended
Australian restaurant,MS,**,2016,3.89,Recommended
Key duplication service,NM,**,2020,4.45,Recommended
Auto repair shop,NH,*,2020,3.75,Recommended
Tuxedo shop,NM,***,2017,2.67,Discreet
Glass & mirror shop,AL,**,2019,4.24,Recommended
Takeout restaurant,MS,*,2018,3.89,Recommended
Pakistani restaurant,WA,*,2016,4.09,Recommended
Data recovery service,MS,**,2018,4.28,Recommended
Office equipment supplier,NM,**,2019,4.14,Recommended
Supermarket,WA,**,2019,4.54,Highly recommended
Health food restaurant,AL,*,2016,4.41,Recommended
Lawn equipment rental service,NH,**,2016,3.50,Discreet
Hunting store,MS,**,2017,5.00,Highly recommended
Convenience store,NM,*,2021,3.33,Discreet
Millwork shop,AL,*,2019,4.83,Highly recommended
Mattress store,MS,***,2018,4.60,Highly recommended
Furniture store,Unknown,*,2016,3.62,Recommended
Guatemalan restaurant,WA,*,2021,4.33,Recommended
Billiards supply store,WA,**,2016,4.35,Recommended
Sign shop,AL,**,2019,4.13,Recommended
Non-profit organization,AL,*,2020,4.95,Highly recommended
Brunch restaurant,NM,***,2018,4.44,Recommended
Leather goods store,WA,***,2017,3.53,Recommended
Doctor,MS,**,2018,4.20,Recommended
Florist,WA,***,2015,4.56,Highly recommended
Video store,AL,**,2018,3.80,Recommended
Korean beef restaurant,WA,**,2016,4.23,Recommended
Golf driving range,NH,**,2017,4.86,Highly recommended
Packaging supply store,WA,**,2017,3.63,Recommended
Frozen yogurt shop,NM,*,2020,4.28,Recommended
Clothing store,NM,*,2018,4.00,Recommended
Storage facility,AL,*,2017,4.80,Highly recommended
Cocktail bar,NH,*,2019,4.12,Recommended
Church,NH,*,2016,4.75,Highly recommended
Bistro,Unknown,*,2016,4.42,Recommended
Meat products,WA,**,2020,4.38,Recommended
Bar & grill,MS,*,2019,4.34,Recommended
Hardware store,MS,**,2021,4.24,Recommended
Soup restaurant,WA,**,2016,4.03,Recommended
Restaurant,AL,*,2017,3.83,Recommended
Women's clothing store,MS,**,2015,4.53,Highly recommended
Jewelry engraver,WA,**,2019,4.68,Highly recommended
Sports bar,MS,*,2021,4.07,Recommended
Novelty store,AL,**,2018,4.30,Recommended
Cosmetics store,WA,****,2015,1.75,Not recommended
Electronic parts supplier,AL,*,2017,3.96,Recommended
Traditional American restaurant,NH,*,2015,4.62,Highly recommended
Creole restaurant,AL,***,2016,4.24,Recommended
Fashion accessories store,WA,***,2021,4.27,Recommended
Sign shop,NM,**,2021,3.28,Discreet
Casino,MS,**,2016,4.08,Recommended
Fast food restaurant,NM,*,2019,3.87,Recommended
Pizza takeaway,AL,*,2015,3.40,Discreet
Jewelry store,WA,***,2018,3.98,Recommended
Cheesesteak restaurant,NM,*,2021,4.55,Highly recommended
Passport photo processor,MS,**,2021,3.80,Recommended
Janitorial equipment supplier,NM,**,2020,5.00,Highly recommended
Hawaiian restaurant,NM,*,2021,4.22,Recommended
Coffee shop,WA,*,2017,4.23,Recommended
Tex-Mex restaurant,NM,**,2021,3.81,Recommended
Health food store,NM,***,2020,4.28,Recommended
Nail salon,NM,*,2017,3.00,Discreet
Bookbinder,WA,**,2018,5.00,Highly recommended
Computer accessories store,WA,***,2021,3.00,Discreet
Gift shop,MS,*,2020,4.52,Highly recommended
Jamaican restaurant,NH,*,2016,5.00,Highly recommended
Lumber store,NH,*,2020,2.00,Not recommended
Clothing alteration service,MS,***,2019,4.79,Highly recommended
Tool store,NM,*,2015,3.52,Recommended
Tire shop,WA,*,2020,3.40,Discreet
Traditional American restaurant,AL,***,2020,4.72,Highly recommended
Lounge,WA,****,2016,4.65,Highly recommended
Toy store,WA,***,2019,4.51,Highly recommended
Tool rental service,AL,**,2020,4.48,Recommended
Charcuterie,NH,**,2019,4.74,Highly recommended
Wedding venue,AL,**,2016,4.54,Highly recommended
Creole restaurant,NM,*,2018,4.52,Highly recommended
Used truck dealer,WA,*,2019,3.07,Discreet
Vegan restaurant,AL,*,2019,4.33,Recommended
Ice cream shop,NH,**,2019,4.36,Recommended
Lawn mower repair service,AL,**,2021,5.00,Highly recommended
Movie rental kiosk,WA,*,2017,4.15,Recommended
Fishing store,MS,**,2018,4.40,Recommended
Pool hall,NH,*,2016,3.96,Recommended
Golf club,WA,*,2021,4.67,Highly recommended
Liquor store,WA,*,2015,4.14,Recommended
Knit shop,WA,**,2021,4.30,Recommended
Toy store,NH,*,2019,4.08,Recommended
Trailer rental service,MS,*,2018,3.74,Recommended
Chicken restaurant,WA,*,2021,3.55,Recommended
Jeweler,WA,**,2019,3.53,Recommended
Fried chicken takeaway,NM,**,2020,4.06,Recommended
Wellness center,AL,**,2019,4.80,Highly recommended
Buffet restaurant,MS,*,2015,3.55,Recommended
Tool rental service,AL,**,2019,4.52,Highly recommended
Jewish restaurant,AL,**,2020,4.54,Highly recommended
Photo shop,AL,*,2015,2.17,Discreet
Storage facility,WA,*,2021,4.13,Recommended
Plumbing supply store,AL,**,2018,4.27,Recommended
Volleyball court,WA,*,2017,4.42,Recommended
Variety store,AL,**,2016,2.60,Discreet
Car battery store,AL,*,2019,3.39,Discreet
Breakfast restaurant,AL,**,2017,4.20,Recommended
Dive club,WA,*,2020,4.39,Recommended
Chinese restaurant,Unknown,**,2017,4.28,Recommended
Used truck dealer,NM,**,2015,5.00,Highly recommended
Wine store,NM,**,2021,4.70,Highly recommended
Outdoor furniture store,MS,**,2019,4.32,Recommended
Spa,NM,**,2018,4.67,Highly recommended
Party store,NM,*,2015,4.18,Recommended
Outdoor movie theater,AL,*,2021,4.63,Highly recommended
Music school,WA,**,2017,4.88,Highly recommended
Yakitori restaurant,WA,**,2020,4.70,Highly recommended
Bar,MS,***,2019,4.59,Highly recommended
Cosmetics store,WA,*,2016,3.86,Recommended
Hairdresser,NM,**,2020,3.98,Recommended
Record store,WA,**,2019,4.61,Highly recommended
Food and drink,NM,*,2016,2.70,Discreet
Gluten-free restaurant,NM,*,2020,4.33,Recommended
Irish pub,AL,**,2017,4.39,Recommended
Glassware store,NH,**,2019,4.27,Recommended
Steak house,WA,**,2019,4.17,Recommended
Distribution service,WA,**,2016,2.96,Discreet
Janitorial service,AL,**,2017,4.00,Recommended
Restaurant,WA,***,2020,4.46,Recommended
Baby clothing store,MS,*,2016,4.10,Recommended
Dessert restaurant,NH,*,2017,3.00,Discreet
Tool store,MS,**,2020,4.40,Recommended
Tex-Mex restaurant,WA,**,2019,4.22,Recommended
Steak house,AL,***,2020,4.40,Recommended
Remodeler,MS,*,2017,1.67,Not recommended
Internet cafe,NM,*,2016,4.75,Highly recommended
Irish restaurant,AL,**,2019,4.26,Recommended
Furnace repair service,Unknown,**,2020,3.86,Recommended
Bagel shop,NM,*,2015,3.58,Recommended
Costume store,NH,**,2015,4.33,Recommended
Produce market,WA,*,2016,4.22,Recommended
Cold noodle restaurant,WA,**,2021,3.54,Recommended
American restaurant,AL,***,2017,4.48,Recommended
Tuxedo shop,NM,**,2016,3.83,Recommended
Music school,WA,*,2021,3.56,Recommended
Outlet store,WA,***,2019,4.15,Recommended
Tool wholesaler,WA,***,2016,4.56,Highly recommended
Grocery store,WA,*,2017,4.08,Recommended
Antique store,WA,***,2020,4.81,Highly recommended
Home goods store,NH,*,2019,4.09,Recommended
Espresso bar,NM,*,2015,4.54,Highly recommended
Home improvement store,NM,*,2020,3.97,Recommended
Gluten-free restaurant,NH,***,2018,4.68,Highly recommended
Beauty supply store,WA,***,2018,3.34,Discreet
Grocery store,AL,**,2016,4.31,Recommended
Burrito restaurant,AL,*,2017,3.73,Recommended
Grill store,AL,*,2015,3.80,Recommended
Childrens book store,MS,**,2015,4.60,Highly recommended
Brewery,NH,*,2021,4.90,Highly recommended
Crêperie,NH,**,2019,4.44,Recommended
Auto repair shop,AL,**,2016,4.63,Highly recommended
Eye care center,NM,*,2018,3.74,Recommended
Bait shop,NH,**,2020,3.47,Discreet
Chinese restaurant,NH,*,2017,4.07,Recommended
Home improvement store,MS,*,2015,3.69,Recommended
Dance hall,NM,**,2018,4.14,Recommended
Collectibles store,MS,**,2015,4.44,Recommended
Native American restaurant,NM,**,2020,4.67,Highly recommended
Cafeteria,NM,*,2021,3.33,Discreet
Silversmith,WA,**,2016,3.52,Recommended
Bird shop,MS,**,2019,4.31,Recommended
Leather goods store,WA,****,2018,3.41,Discreet
Frozen dessert supplier,WA,**,2017,4.14,Recommended
Tourist attraction,NH,**,2021,4.76,Highly recommended
Fast food restaurant,NH,*,2018,3.65,Recommended
Engraver,WA,**,2018,4.15,Recommended
Pan-Asian restaurant,NM,**,2018,4.23,Recommended
Cafeteria,NH,**,2019,3.96,Recommended
Chocolate shop,NH,**,2020,4.54,Highly recommended
Trophy shop,AL,**,2020,5.00,Highly recommended
Lawn mower repair service,NM,***,2017,3.43,Discreet
Clothing store,WA,**,2016,3.87,Recommended
Cajun restaurant,WA,**,2020,4.28,Recommended
Oyster bar restaurant,WA,**,2015,4.29,Recommended
Tapas restaurant,WA,***,2017,4.55,Highly recommended
Bar & grill,MS,***,2017,4.38,Recommended
Fuel pump,MS,*,2015,1.80,Not recommended
Dermatologist,WA,**,2016,3.29,Discreet
Grocery store,NM,**,2018,4.11,Recommended
Dollar store,NM,*,2018,4.07,Recommended
Soup shop,NM,**,2016,3.76,Recommended
Southeast Asian restaurant,AL,**,2019,4.36,Recommended
Wedding store,NM,**,2018,4.21,Recommended
Toy store,WA,***,2020,4.51,Highly recommended
Auto parts store,AL,*,2016,3.18,Discreet
Italian grocery store,WA,*,2020,4.82,Highly recommended
Construction material wholesaler,WA,***,2019,4.70,Highly recommended
Japanese steakhouse,WA,**,2017,4.14,Recommended
Cheesesteak restaurant,WA,**,2018,4.08,Recommended
Pizza,WA,*,2017,4.32,Recommended
Egyptian restaurant,WA,**,2015,4.86,Highly recommended
Observation deck,WA,***,2019,4.60,Highly recommended
European restaurant,NH,*,2015,3.50,Discreet
Lawn mower repair service,MS,*,2016,5.00,Highly recommended
Optician,NH,*,2017,3.33,Discreet
Furniture store,NM,***,2018,4.38,Recommended
Eastern European restaurant,WA,*,2019,4.69,Highly recommended
Used book store,NH,*,2015,3.69,Recommended
Chinese takeaway,NM,*,2018,4.50,Recommended
Southern restaurant (US),WA,**,2015,4.39,Recommended
Used car dealer,AL,**,2020,4.45,Recommended
Sporting goods store,AL,***,2019,4.29,Recommended
Home audio store,WA,**,2017,4.67,Highly recommended
Pool billard club,WA,*,2021,4.32,Recommended
Ear piercing service,NH,*,2016,3.00,Discreet
Wine bar,AL,**,2020,4.46,Recommended
Steak house,WA,*,2016,4.25,Recommended
Outerwear store,AL,**,2021,4.30,Recommended
Mexican torta restaurant,AL,*,2017,3.47,Discreet
Topsoil supplier,MS,*,2017,4.33,Recommended
Security system installer,NM,**,2018,4.62,Highly recommended
Auto parts store,MS,**,2020,4.75,Highly recommended
Grocery store,MS,***,2015,3.45,Discreet
Silversmith,AL,**,2021,3.81,Recommended
Vending machine supplier,WA,***,2016,4.56,Highly recommended
Sheet music store,WA,*,2016,4.38,Recommended
Home goods store,MS,**,2021,4.18,Recommended
Dessert shop,WA,***,2016,4.80,Highly recommended
Pet groomer,NH,*,2020,4.71,Highly recommended
Novelty store,MS,**,2019,4.47,Recommended
Bedroom furniture store,MS,**,2019,4.20,Recommended
Cheesesteak restaurant,AL,*,2019,4.10,Recommended
Discount store,AL,*,2015,3.91,Recommended
Bed shop,NM,*,2019,4.01,Recommended
Pie shop,NM,**,2018,4.52,Highly recommended
Bowling alley,NH,*,2020,4.41,Recommended
Dart bar,AL,*,2017,4.50,Recommended
Kitchen supply store,AL,***,2020,4.44,Recommended
Californian restaurant,MS,**,2020,4.06,Recommended
Lunch restaurant,AL,*,2021,3.64,Recommended
Yarn store,NM,**,2017,3.96,Recommended
Club,AL,*,2020,4.44,Recommended
Candy store,WA,**,2017,4.15,Recommended
Korean restaurant,NM,*,2019,4.58,Highly recommended
Health food store,AL,**,2018,4.30,Recommended
Gastropub,AL,*,2020,4.57,Highly recommended
Ramen restaurant,NM,*,2017,4.57,Highly recommended
Ammunition supplier,NH,**,2015,5.00,Highly recommended
Yoga studio,WA,*,2019,4.50,Recommended
Car repair and maintenance,AL,*,2020,2.25,Discreet
Jewelry engraver,WA,****,2017,3.00,Discreet
Natural goods store,NM,*,2016,3.78,Recommended
Mattress store,NM,***,2019,4.38,Recommended
Halal restaurant,WA,**,2021,4.09,Recommended
Truck rental agency,MS,*,2019,3.78,Recommended
Window installation service,AL,*,2019,3.92,Recommended
Digital printer,AL,*,2019,3.74,Recommended
Fine dining restaurant,MS,****,2016,4.54,Highly recommended
Vitamin & supplements store,NH,**,2018,3.90,Recommended
Craft store,NM,**,2019,4.40,Recommended
Dog park,AL,*,2017,4.53,Highly recommended
Pizza restaurant,NH,*,2017,4.08,Recommended
Softball field,NH,*,2019,4.33,Recommended
Cookie shop,WA,*,2019,4.51,Highly recommended
Beauty supply store,AL,***,2015,3.67,Recommended
Fashion accessories store,Unknown,***,2016,4.67,Highly recommended
Office supply store,NH,**,2019,3.93,Recommended
Shoe store,NH,*,2017,3.48,Discreet
Packaging supply store,AL,**,2016,3.31,Discreet
Electronics store,MS,***,2016,2.97,Discreet
Musical instrument store,WA,**,2015,4.60,Highly recommended
Frozen yogurt shop,NM,*,2019,4.23,Recommended
Chicken wings restaurant,NH,*,2021,3.86,Recommended
Lebanese restaurant,NH,*,2021,4.33,Recommended
Manufacturer,AL,**,2017,5.00,Highly recommended
Garden center,NM,***,2017,4.50,Recommended
ATM,NH,**,2016,3.77,Recommended
Patisserie,WA,*,2018,4.63,Highly recommended
Beer store,WA,***,2015,4.64,Highly recommended
Bead store,AL,**,2017,4.27,Recommended
Corporate office,NM,**,2017,4.40,Recommended
Vegan restaurant,WA,****,2015,4.35,Recommended
Bead store,MS,**,2017,4.19,Recommended
Beer hall,NH,**,2019,4.46,Recommended
Costume jewelry shop,NM,**,2018,4.64,Highly recommended
Apartment rental agency,AL,*,2018,5.00,Highly recommended
General store,NM,**,2018,3.77,Recommended
Fashion accessories store,MS,**,2018,4.23,Recommended
Supermarket,NH,**,2016,4.20,Recommended
Religious goods store,AL,**,2016,4.54,Highly recommended
Po’ boys restaurant,AL,**,2020,4.13,Recommended
Abrasives supplier,NM,**,2020,5.00,Highly recommended
Chocolate shop,WA,**,2015,4.34,Recommended
Hamburger restaurant,NH,*,2020,3.83,Recommended
Nuevo Latino restaurant,WA,**,2021,4.52,Highly recommended
Outdoor sports store,AL,**,2019,4.31,Recommended
Sportswear store,NM,**,2018,4.24,Recommended
Religious organization,MS,*,2016,4.00,Recommended
Live music bar,WA,**,2019,4.33,Recommended
Pet supply store,AL,**,2015,3.91,Recommended
Massage therapist,NM,**,2016,5.00,Highly recommended
Auto repair shop,NH,*,2021,2.85,Discreet
Beauty supply store,NM,*,2015,4.19,Recommended
Fashion designer,AL,*,2018,4.21,Recommended
Southern Italian restaurant,WA,**,2015,4.33,Recommended
Gift shop,Unknown,**,2020,4.06,Recommended
Wholesale grocer,NM,*,2021,4.42,Recommended
Department store,Unknown,***,2018,4.21,Recommended
Barber supply store,NM,*,2015,3.94,Recommended
Underwear store,NM,**,2019,4.59,Highly recommended
Vitamin & supplements store,AL,*,2017,3.53,Recommended
Sporting goods store,MS,***,2018,4.51,Highly recommended
Motorcycle parts store,NM,***,2018,4.43,Recommended
Salsa bar,NM,**,2017,4.78,Highly recommended
Angler fish restaurant,MS,**,2016,3.69,Recommended
Game store,NH,**,2018,3.77,Recommended
Trailer supply store,NM,**,2016,2.75,Discreet
Popcorn store,AL,*,2017,4.50,Recommended
Used truck dealer,NM,*,2015,3.26,Discreet
Fashion accessories store,NH,*,2016,3.59,Recommended
Plumber,MS,*,2021,5.00,Highly recommended
Dessert restaurant,NH,**,2018,4.26,Recommended
Video game store,AL,**,2017,4.07,Recommended
Fusion restaurant,NH,**,2015,5.00,Highly recommended
Meeting room,NH,**,2019,4.25,Recommended
Men's clothing store,WA,**,2016,3.85,Recommended
Art gallery,MS,**,2019,4.50,Recommended
Spanish restaurant,MS,**,2016,4.86,Highly recommended
Puerto Rican restaurant,AL,**,2018,4.55,Highly recommended
Comedy club,WA,**,2019,4.31,Recommended
Sushi restaurant,WA,****,2020,4.63,Highly recommended
Mobile caterer,Unknown,*,2021,5.00,Highly recommended
Cookie shop,WA,*,2020,4.45,Recommended
Chinese food,WA,**,2020,3.95,Recommended
Sunglasses store,NM,***,2017,2.17,Discreet
Stylist,AL,**,2019,4.02,Recommended
Drive-in movie theater,AL,*,2017,4.53,Highly recommended
Snack bar,MS,*,2018,3.39,Discreet
Convenience store,AL,*,2015,3.92,Recommended
Cocktail bar,NH,***,2018,4.46,Recommended
Soup restaurant,Unknown,**,2018,4.12,Recommended
Storage facility,MS,*,2019,3.33,Discreet
Roofing supply store,WA,**,2017,2.00,Not recommended
Beach clothing store,NH,**,2021,2.85,Discreet
Food producer,WA,**,2019,4.17,Recommended
Chicken restaurant,WA,**,2019,4.26,Recommended
Miniature golf course,AL,*,2017,4.53,Highly recommended
Internet cafe,NH,**,2021,4.21,Recommended
Sports bar,WA,*,2019,4.23,Recommended
Alternative fuel station,AL,**,2019,3.41,Discreet
Electrician,AL,*,2020,2.92,Discreet
Washer & dryer repair service,Unknown,**,2017,4.22,Recommended
Electronics wholesaler,WA,**,2020,4.88,Highly recommended
Department store,WA,**,2018,4.10,Recommended
Window installation service,NM,*,2019,4.38,Recommended
Beach clothing store,AL,**,2019,4.22,Recommended
Cambodian restaurant,WA,*,2017,4.17,Recommended
Sichuan restaurant,WA,*,2017,3.98,Recommended
Adult entertainment club,WA,**,2017,4.31,Recommended
Sunglasses store,NM,*,2018,4.19,Recommended
Fence supply store,MS,*,2020,4.29,Recommended
Distribution service,WA,**,2019,3.18,Discreet
Watch repair service,WA,***,2019,4.05,Recommended
RV storage facility,MS,*,2020,4.26,Recommended
Appliance store,NM,**,2018,4.17,Recommended
Pet supply store,NM,**,2021,3.61,Recommended
Beverages,WA,**,2017,4.42,Recommended
Marketing consultant,WA,**,2016,4.64,Highly recommended
Home audio store,AL,**,2015,1.00,Not recommended
Doctor,WA,**,2015,3.00,Discreet
Fashion designer,NM,*,2018,4.01,Recommended
Hookah bar,MS,**,2018,4.66,Highly recommended
Movie theater,WA,**,2019,4.52,Highly recommended
Diner,MS,*,2020,4.07,Recommended
Bead store,WA,**,2016,4.00,Recommended
Chinese takeaway,AL,**,2016,3.98,Recommended
Public bathroom,NH,**,2016,5.00,Highly recommended
Leather goods store,WA,****,2020,3.43,Discreet
Ethnic restaurant,NH,**,2018,4.29,Recommended
Tropical fish store,MS,**,2018,4.20,Recommended
Mailing service,NH,**,2019,3.60,Recommended
Freight forwarding service,AL,**,2020,3.46,Discreet
Skin care clinic,NH,**,2015,3.00,Discreet
Nepalese restaurant,AL,*,2020,3.66,Recommended
Pet supply store,MS,**,2016,4.08,Recommended
Takeout Restaurant,NM,*,2015,3.23,Discreet
Computer repair service,NM,***,2015,2.87,Discreet
Garage builder,MS,*,2019,4.30,Recommended
Traditional American restaurant,NH,****,2019,4.62,Highly recommended
Tex-Mex restaurant,NH,**,2020,4.12,Recommended
Sugar shack,NH,*,2021,4.65,Highly recommended
Car wash,NM,*,2019,2.66,Discreet
Van rental agency,NH,*,2015,4.28,Recommended
Crane rental agency,AL,*,2020,4.19,Recommended
Landscaping supply store,MS,*,2015,4.00,Recommended
Used book store,WA,*,2015,3.86,Recommended
Metaphysical supply store,WA,*,2018,4.59,Highly recommended
Pizza restaurant,WA,***,2020,4.27,Recommended
Wedding store,MS,***,2016,4.11,Recommended
Grill store,NM,*,2017,3.84,Recommended
Greeting card shop,NH,**,2018,3.80,Recommended
Sushi takeaway,WA,*,2016,4.40,Recommended
Traditional American restaurant,MS,**,2018,3.89,Recommended
Concert hall,WA,**,2019,4.51,Highly recommended
Fence contractor,NM,*,2020,3.00,Discreet
Bar,WA,**,2019,4.31,Recommended
Souvenir store,AL,**,2018,4.26,Recommended
Bedding store,MS,**,2015,4.33,Recommended
Distribution service,MS,*,2016,2.89,Discreet
Office furniture store,WA,***,2020,4.56,Highly recommended
Barbecue restaurant,WA,**,2015,4.08,Recommended
Contact lenses supplier,MS,*,2019,3.00,Discreet
Dessert shop,WA,**,2017,4.44,Recommended
Hobby store,NM,**,2019,4.37,Recommended
Uniform store,WA,**,2021,2.00,Not recommended
Baby clothing store,NH,**,2020,3.89,Recommended
Home goods store,WA,*,2020,4.04,Recommended
Motorcycle dealer,NM,***,2019,4.17,Recommended
Topsoil supplier,NM,*,2020,4.13,Recommended
Family restaurant,MS,**,2017,4.05,Recommended
Chiropractor,WA,**,2018,5.00,Highly recommended
Dessert restaurant,AL,*,2015,4.73,Highly recommended
Hawaiian goods store,WA,**,2021,4.83,Highly recommended
Teppanyaki restaurant,NM,**,2020,4.32,Recommended
Trailer rental service,AL,*,2021,3.47,Discreet
Animal watering hole,WA,*,2021,3.20,Discreet
Art gallery,NM,**,2016,4.53,Highly recommended
Corporate entertainment service,NH,**,2015,3.85,Recommended
Nepalese restaurant,NM,**,2020,4.33,Recommended
Brazilian restaurant,NH,*,2017,4.67,Highly recommended
Salad shop,AL,*,2017,3.78,Recommended
Shoe store,WA,**,2016,3.76,Recommended
Washer & dryer repair service,AL,**,2020,3.53,Recommended
Jewelry designer,NH,***,2018,3.00,Discreet
