category,state,price,year,avg_rating,business suggestion
Volleyball court,WA,*,2020,4.333333333333333,Recommended
Takeout Restaurant,MS,**,2021,4.048535751840018,Recommended
Hookah bar,AL,**,2018,3.888888888888889,Recommended
Liquor store,Unknown,*,2015,2.923076923076923,Discreet
Electronics repair shop,MS,**,2020,2.333333333333333,Discreet
Lottery retailer,NH,**,2016,4.857142857142857,Highly recommended
T-shirt store,NH,**,2016,4.083333333333333,Recommended
Molding supplier,NH,*,2020,2.0,Not recommended
Dinner theater,NH,**,2020,4.647058823529412,Highly recommended
Furniture store,WA,*,2019,4.306226713539258,Recommended
Italian restaurant,WA,*,2021,4.268525985625022,Recommended
Small plates restaurant,WA,*,2015,4.583333333333334,Highly recommended
Live music venue,WA,***,2015,3.690740740740741,Recommended
Tire shop,NM,*,2018,3.423039186843919,Discreet
Nepalese restaurant,AL,*,2018,4.271317829457364,Recommended
Cheese shop,AL,**,2015,4.777777777777778,Highly recommended
Seafood restaurant,AL,**,2015,3.9053413311186898,Recommended
Discount store,Unknown,*,2019,4.318181818181818,Recommended
Caribbean restaurant,WA,**,2018,4.516485584059299,Highly recommended
Computer repair service,WA,***,2017,3.137469384950369,Discreet
Dairy supplier,WA,**,2019,4.0,Recommended
Janitorial equipment supplier,NM,**,2019,3.5,Discreet
Desktop publishing service,WA,**,2017,5.0,Highly recommended
Day spa,WA,**,2021,4.6336279461279455,Highly recommended
Party planner,NH,**,2019,4.45,Recommended
Korean restaurant,AL,**,2021,4.188633577862905,Recommended
Filipino restaurant,WA,**,2016,4.475925925925926,Recommended
Home goods store,NM,**,2019,4.397001400124727,Recommended
Lawn equipment rental service,NM,*,2016,3.6378550913000227,Recommended
Data recovery service,NH,**,2017,3.0,Discreet
Disco club,AL,*,2018,4.491803278688525,Recommended
Video game rental kiosk,AL,*,2020,3.0,Discreet
Mobile phone repair shop,MS,***,2020,3.8,Recommended
Southwestern restaurant (US),NM,**,2019,4.243884882225826,Recommended
Meat dish restaurant,AL,***,2021,3.074409250879839,Discreet
New American restaurant,AL,***,2019,4.734375,Highly recommended
Mattress store,MS,*,2020,4.61892159747596,Highly recommended
Guitar instructor,WA,**,2021,5.0,Highly recommended
Direct mail advertising,WA,**,2018,5.0,Highly recommended
Family restaurant,MS,***,2017,4.4,Recommended
Art gallery,NM,**,2019,4.7976190476190474,Highly recommended
Propane supplier,AL,*,2019,2.69723865877712,Discreet
Air conditioning repair service,WA,**,2016,4.1231114808322795,Recommended
Tourist attraction,MS,**,2015,3.1875,Discreet
Asian fusion restaurant,NH,*,2017,3.9444444444444446,Recommended
Kennel,WA,**,2016,3.6666666666666665,Recommended
Mobile phone repair shop,MS,**,2018,4.013363060182848,Recommended
Meal delivery,MS,**,2015,4.0,Recommended
Handbags shop,MS,***,2018,4.285714285714286,Recommended
Public bathroom,NH,*,2018,3.2438095238095235,Discreet
Wok restaurant,AL,*,2020,4.055555555555555,Recommended
Boat rental service,AL,**,2020,3.6666666666666665,Recommended
Internet cafe,NM,*,2021,4.830827067669173,Highly recommended
Children's party service,WA,**,2015,4.031854256854257,Recommended
Florist,MS,**,2017,4.384615384615385,Recommended
Corporate office,NM,**,2019,4.473970820142737,Recommended
Mandarin restaurant,WA,*,2021,4.761904761904762,Highly recommended
Pharmacy,AL,**,2021,3.7032412032412028,Recommended
Home improvement store,NM,***,2019,4.411764705882353,Recommended
Bistro,WA,**,2021,4.568406668553852,Highly recommended
Plus size clothing store,AL,*,2017,4.310707885304659,Recommended
Supermarket,NM,*,2019,3.907472618592289,Recommended
Gift shop,WA,****,2015,4.0,Recommended
Lawn equipment rental service,WA,*,2020,3.9286462749879236,Recommended
Pizza restaurant,NH,**,2018,4.173139536736959,Recommended
Brunch restaurant,AL,***,2019,4.5298444130127296,Highly recommended
Jazz club,WA,**,2015,3.8555555555555556,Recommended
Beer store,NM,**,2016,4.666666666666667,Highly recommended
Outerwear store,AL,**,2019,4.361004273504274,Recommended
Store,WA,*,2020,4.434678457935167,Recommended
Izakaya restaurant,WA,**,2015,4.226974512743628,Recommended
Fabric store,MS,**,2019,4.491147144002679,Recommended
Vietnamese restaurant,NH,**,2016,4.5476190476190474,Highly recommended
Recycling center,AL,**,2019,1.0,Not recommended
Clothing store,MS,**,2018,4.2446153533588795,Recommended
Business center,MS,**,2018,3.1607142857142856,Discreet
Banquet hall,AL,**,2015,3.3184452584452586,Discreet
Bicycle store,WA,***,2020,4.511627906976744,Highly recommended
Greeting card shop,WA,**,2019,3.0694697905883337,Discreet
Wi-Fi spot,NH,*,2016,4.6875,Highly recommended
Halal restaurant,AL,**,2019,4.415584415584416,Recommended
Californian restaurant,MS,**,2016,3.888888888888889,Recommended
Breakfast restaurant,NH,*,2018,3.814595803133347,Recommended
Video game rental service,NM,*,2016,3.709786255411255,Recommended
Seafood restaurant,MS,****,2019,4.493827160493828,Recommended
Lebanese restaurant,NH,*,2017,4.671875,Highly recommended
Brunch restaurant,MS,*,2021,3.7617691975404126,Recommended
Tire shop,MS,*,2020,3.5715132090132093,Recommended
Sports complex,WA,**,2020,3.9622641509433962,Recommended
Jewelry engraver,WA,**,2015,3.5,Discreet
Italian restaurant,NH,***,2021,4.387879956895384,Recommended
Knitting instructor,WA,**,2015,5.0,Highly recommended
Concert hall,NM,**,2017,4.419965277777777,Recommended
Banquet hall,NM,***,2018,4.211538461538462,Recommended
Cake shop,MS,*,2018,4.201909930761952,Recommended
Supermarket,WA,**,2015,4.446985769659745,Recommended
Greeting card shop,AL,**,2016,3.7896825396825395,Recommended
Movie rental kiosk,NH,*,2020,3.326530612244898,Discreet
Taiwanese restaurant,NM,**,2021,4.181818181818182,Recommended
Craft store,NM,**,2019,4.395114441827342,Recommended
Art gallery,WA,*,2019,4.584333759046403,Highly recommended
Auto parts store,MS,**,2019,5.0,Highly recommended
Cell phone accessory store,MS,**,2017,3.869806279362721,Recommended
French restaurant,WA,***,2021,4.701154848596709,Highly recommended
Variety store,MS,**,2020,4.15,Recommended
Digital printer,WA,*,2018,3.8458333333333337,Recommended
Caterer,Unknown,**,2021,4.256894087502592,Recommended
Office furniture store,NM,**,2019,4.121951663855202,Recommended
Home goods store,Unknown,*,2020,4.123122412773507,Recommended
Thai restaurant,NM,**,2017,4.1599795929392425,Recommended
Tool store,Unknown,*,2020,3.88860103626943,Recommended
Rest stop,WA,**,2019,4.366666666666666,Recommended
Discount store,MS,**,2016,3.9749999999999996,Recommended
Swimming pool repair service,NH,**,2020,3.8333333333333335,Recommended
Electrician,WA,**,2018,4.569734189182466,Highly recommended
Outdoor furniture store,NM,***,2021,4.2012820512820515,Recommended
Pakistani restaurant,WA,*,2017,4.545454545454545,Highly recommended
Tool repair shop,WA,**,2021,4.425,Recommended
Cannabis store,WA,*,2015,4.333333333333333,Recommended
Colombian restaurant,NM,**,2016,4.958333333333333,Highly recommended
European restaurant,NM,**,2018,4.417375318673927,Recommended
Coffee store,AL,*,2015,4.666666666666666,Highly recommended
Electric vehicle charging station,WA,**,2015,3.142857142857143,Discreet
Sportswear store,NM,**,2018,4.238743773572714,Recommended
Appliance repair service,WA,**,2016,4.1276184801133935,Recommended
Forklift rental service,NH,*,2015,1.0,Not recommended
Sod supplier,WA,*,2017,4.115833333333333,Recommended
Lunch restaurant,MS,*,2021,3.610123898437643,Recommended
Safety equipment supplier,NM,**,2019,4.0,Recommended
Barbecue restaurant,NM,*,2019,4.441755068547984,Recommended
Sunglasses store,MS,*,2020,4.462563128838488,Recommended
Art supply store,WA,**,2018,4.233407072153811,Recommended
Angler fish restaurant,NH,**,2016,4.0,Recommended
Data recovery service,NH,**,2020,2.577777777777778,Discreet
Meal delivery,WA,**,2016,3.869565217391304,Recommended
Garden,NH,*,2018,4.158482723440268,Recommended
Bakery,NM,*,2017,4.204843910211288,Recommended
Car wash,AL,**,2019,3.6006944444444446,Recommended
Small plates restaurant,WA,**,2021,4.582510573586089,Highly recommended
Pasta shop,WA,**,2017,4.070717209175906,Recommended
Italian restaurant,AL,*,2021,4.1996830463320975,Recommended
Produce market,WA,***,2017,4.525897607488445,Highly recommended
Shoe store,WA,****,2017,2.8333333333333335,Discreet
Home theater store,MS,**,2017,4.098474618216302,Recommended
Plant nursery,NH,*,2017,2.5,Discreet
Paint store,NM,*,2019,4.066721431974713,Recommended
Shipping service,AL,**,2021,2.9878551078551077,Discreet
Indian grocery store,NH,**,2016,4.129032258064516,Recommended
Traditional restaurant,WA,**,2017,4.338510523293132,Recommended
Hookah bar,WA,**,2019,4.104554865424431,Recommended
Tropical fish store,NM,**,2019,4.3515998215203195,Recommended
Children's clothing store,NM,*,2018,4.273464150533066,Recommended
Contact lenses supplier,NH,*,2021,3.619047619047619,Recommended
Mexican goods store,WA,**,2019,4.488250652741514,Recommended
Costume store,WA,*,2019,4.000178901247831,Recommended
Air conditioning repair service,MS,*,2016,1.0,Not recommended
Northern Italian restaurant,WA,***,2021,4.7272727272727275,Highly recommended
Natural goods store,NH,**,2017,4.742528735632185,Highly recommended
Religious organization,MS,*,2018,4.25,Recommended
Department store,Unknown,***,2021,4.4941176470588236,Recommended
Izakaya restaurant,WA,**,2018,4.348338193799794,Recommended
Mattress store,NM,**,2018,4.036057407216542,Recommended
Southwestern restaurant (US),NM,**,2015,4.006699246933622,Recommended
Bank,WA,*,2018,4.495356037151703,Recommended
Pizza delivery,AL,*,2021,3.7227045448136127,Recommended
French restaurant,MS,***,2018,4.488636363636363,Recommended
Pan-Asian restaurant,WA,*,2015,4.192261904761905,Recommended
Delivery Restaurant,NH,*,2015,3.9283581644692753,Recommended
Mandarin restaurant,WA,*,2016,4.333333333333333,Recommended
Dessert shop,NH,*,2019,4.534302220318221,Highly recommended
Movie rental store,NH,*,2017,4.375,Recommended
Takeout Restaurant,WA,**,2015,3.763038756797306,Recommended
Beer hall,WA,**,2021,4.5052095071334115,Highly recommended
Video arcade,WA,*,2021,4.674336696799933,Highly recommended
Beauty supply store,WA,*,2018,4.15771584553554,Recommended
Gas station,MS,**,2018,4.071609529081886,Recommended
Barbecue restaurant,NH,**,2016,4.190257163701605,Recommended
Eclectic restaurant,WA,***,2019,4.447126436781609,Recommended
Bedding store,MS,*,2017,4.327731012313392,Recommended
Shredding service,MS,**,2016,3.536656480774128,Recommended
Juice shop,WA,**,2016,4.404901960784313,Recommended
Family restaurant,WA,*,2019,4.304725979614225,Recommended
Alternative fuel station,MS,**,2020,2.9982517482517475,Discreet
Fashion accessories store,WA,*,2019,3.804966043711162,Recommended
Home improvement store,NM,*,2018,4.049784144774495,Recommended
Acupuncture clinic,WA,**,2020,2.2857142857142856,Discreet
Party store,MS,*,2016,4.104063456118949,Recommended
Home goods store,NM,*,2017,3.931745547130475,Recommended
Sandwich shop,MS,**,2021,4.149827539330308,Recommended
Wholesale bakery,NH,*,2016,3.9958333333333336,Recommended
Roman restaurant,WA,***,2016,3.9166666666666665,Recommended
Shipping company,NH,**,2020,3.7494034037995903,Recommended
Nepalese restaurant,AL,*,2020,3.6551724137931036,Recommended
Steak house,MS,****,2016,4.42022792022792,Recommended
Cell phone accessory store,NM,**,2018,4.289136752136752,Recommended
Moving and storage service,WA,*,2020,3.064480486593393,Discreet
Baby store,NH,**,2015,4.118939393939394,Recommended
Country food restaurant,AL,*,2019,4.392201263447179,Recommended
Argentinian restaurant,WA,*,2018,4.691489361702128,Highly recommended
Yacht broker,WA,**,2018,4.9,Highly recommended
Children's amusement center,NM,**,2019,4.066557164567173,Recommended
Indian restaurant,NM,*,2018,4.48082299678468,Recommended
Electronic parts supplier,WA,**,2019,3.9280984842656608,Recommended
Sugar shack,NH,*,2021,4.6521739130434785,Highly recommended
New American restaurant,NH,*,2017,4.628571428571429,Highly recommended
Pet supply store,NH,**,2018,4.282793257156635,Recommended
Wedding store,MS,***,2016,4.109375,Recommended
Tool store,MS,**,2015,4.7,Highly recommended
Food products supplier,WA,*,2018,2.444345238095238,Discreet
Construction machine rental service,WA,*,2017,3.1296296296296298,Discreet
Distillery,AL,**,2016,4.333333333333333,Recommended
Pool hall,AL,**,2018,4.1521739130434785,Recommended
Animal feed store,MS,***,2021,4.666666666666667,Highly recommended
Salvadoran restaurant,NM,*,2020,4.34434394546349,Recommended
Car battery store,MS,*,2017,2.413621933621934,Discreet
Hair salon,WA,*,2017,4.166666666666667,Recommended
T-shirt store,WA,**,2016,3.7202222222222217,Recommended
Glassware store,NH,**,2018,4.242798619775531,Recommended
Wallpaper store,NH,**,2018,4.868512054473265,Highly recommended
Vitamin & supplements store,WA,**,2019,4.016918654778141,Recommended
Event planner,MS,**,2018,4.377777777777778,Recommended
Kebab shop,WA,*,2019,4.787878787878788,Highly recommended
Donut shop,AL,*,2016,4.299340840073338,Recommended
Traditional American restaurant,WA,***,2021,5.0,Highly recommended
Department store,NM,**,2020,4.184683295003128,Recommended
Pet supply store,MS,**,2015,4.520833333333333,Highly recommended
Banner store,MS,**,2019,4.833333333333334,Highly recommended
Computer repair service,NH,***,2016,3.550099206349206,Recommended
Skateboard shop,WA,**,2019,4.3059014048620305,Recommended
Pizza Takeout,WA,*,2018,3.849049156086925,Recommended
Packaging supply store,WA,*,2018,2.5184659603287045,Discreet
Electric motor store,AL,**,2016,2.7777777777777777,Discreet
Children's amusement center,NM,**,2016,3.8318972693972695,Recommended
Wedding planner,WA,**,2017,4.228070175438597,Recommended
Medical supply store,AL,**,2017,4.2652777777777775,Recommended
Discount store,MS,*,2015,3.8020261173779866,Recommended
Wedding bakery,AL,**,2017,4.359863173537217,Recommended
Chicken wings restaurant,AL,*,2020,3.75702642215483,Recommended
Fish & chips restaurant,AL,*,2018,3.815685771032833,Recommended
Store,WA,*,2015,4.071360544217686,Recommended
Cosmetics store,Unknown,***,2017,3.4615384615384617,Discreet
European restaurant,NM,**,2016,4.2773949523802,Recommended
Car dealer,WA,**,2019,4.368016237731921,Recommended
Bar,MS,*,2017,4.3666109125017085,Recommended
Bathroom supply store,NM,*,2018,4.112551304161493,Recommended
Grocery store,MS,*,2016,3.975152403389397,Recommended
Hamburger restaurant,MS,**,2017,4.009803067370118,Recommended
Fax service,AL,**,2021,3.377777777777778,Discreet
Leather goods store,AL,****,2016,3.057142857142857,Discreet
Oyster bar restaurant,AL,**,2020,4.293301206294931,Recommended
Mobile phone repair shop,NH,***,2019,3.7904807169128705,Recommended
Lawn mower repair service,Unknown,**,2019,2.3333333333333335,Discreet
Dominican restaurant,MS,**,2015,4.0,Recommended
British restaurant,WA,**,2017,4.150505755144751,Recommended
Invitation printing service,NH,***,2017,4.3274853801169595,Recommended
Steak house,NM,*,2015,3.7240537240537237,Recommended
Kitchen furniture store,AL,**,2018,4.496472110583364,Recommended
Lighting store,MS,**,2017,4.2976190476190474,Recommended
Northern Italian restaurant,NH,**,2016,4.545454545454546,Highly recommended
Amusement park,AL,**,2018,3.8542713567839195,Recommended
Home automation company,NM,**,2015,1.0,Not recommended
Pub,WA,**,2018,4.290682456109352,Recommended
Performing arts theater,WA,**,2015,3.9305555555555554,Recommended
Tool store,WA,**,2021,4.4214740916650115,Recommended
Fashion designer,MS,*,2019,4.587692307692308,Highly recommended
Sports bar,AL,*,2018,4.401151127517752,Recommended
Fish & chips restaurant,WA,**,2019,4.3318378326108515,Recommended
Wine bar,Unknown,**,2016,4.136363636363637,Recommended
Taco restaurant,WA,*,2016,3.6094557430493794,Recommended
Wholesale bakery,AL,*,2021,4.333333333333333,Recommended
Telecommunications service provider,WA,*,2017,3.9962061068357033,Recommended
Pie shop,WA,**,2021,4.103358067147255,Recommended
Greek restaurant,NM,*,2020,4.48643632971548,Recommended
Health food store,MS,*,2016,4.5,Recommended
Food service,NH,**,2020,4.523809523809524,Highly recommended
Small engine repair service,NM,**,2015,5.0,Highly recommended
Electronics store,NM,*,2017,3.793297804861488,Recommended
Electronics store,NH,**,2021,4.170991325720374,Recommended
Country food restaurant,AL,**,2017,4.696546052631579,Highly recommended
Market,WA,*,2020,4.172239108409322,Recommended
Caribbean restaurant,NM,*,2019,4.569696969696969,Highly recommended
Watch repair service,NH,**,2021,4.0,Recommended
Vietnamese restaurant,AL,**,2019,4.46436875740607,Recommended
Salad shop,WA,***,2016,4.766666666666667,Highly recommended
Video game store,WA,***,2017,3.6877705627705626,Recommended
Boat rental service,WA,**,2016,4.642857142857142,Highly recommended
Golf driving range,NH,**,2020,4.666666666666667,Highly recommended
Plant nursery,AL,*,2018,4.606613756613757,Highly recommended
Building materials supplier,MS,**,2021,3.807142857142857,Recommended
Dim sum restaurant,AL,**,2017,4.029119981325864,Recommended
Fax service,NH,**,2020,3.5511111111111107,Recommended
Used musical instrument store,WA,*,2015,3.4285714285714284,Discreet
Tuxedo shop,AL,***,2017,2.1020833333333333,Discreet
Tailor,MS,***,2018,2.888888888888889,Discreet
Window treatment store,WA,**,2017,4.369664692586862,Recommended
Chinese takeaway,MS,**,2021,4.666666666666667,Highly recommended
Distillery,AL,**,2021,4.785714285714286,Highly recommended
Digital printer,NH,*,2017,3.75,Recommended
Bar & grill,NM,***,2017,4.21599106287903,Recommended
Coffee store,NM,**,2019,4.197736756476094,Recommended
Japanese steakhouse,MS,**,2015,4.221173469387756,Recommended
Soup shop,AL,**,2018,3.928875461225394,Recommended
Corporate office,AL,**,2019,4.579302699946294,Highly recommended
Cocktail bar,WA,**,2020,4.433907275931169,Recommended
Seasonal goods store,NM,**,2016,3.965656565656565,Recommended
Sushi restaurant,MS,*,2021,4.0368303118671545,Recommended
Australian restaurant,WA,**,2017,3.752799978422762,Recommended
Window installation service,MS,*,2016,1.0,Not recommended
Lawn mower repair service,WA,***,2015,3.0,Discreet
Non-profit organization,WA,*,2015,4.514285714285714,Highly recommended
Tractor repair shop,WA,**,2018,4.470588235294118,Recommended
Brunch restaurant,WA,***,2019,4.4402427812915715,Recommended
Jewelry store,NM,****,2019,4.809523809523809,Highly recommended
Store,MS,*,2015,4.666666666666667,Highly recommended
Non-profit organization,WA,**,2019,4.495393208571504,Recommended
Japanese restaurant,AL,*,2017,4.197582809356042,Recommended
Food bank,WA,*,2019,4.366346661468613,Recommended
Window installation service,WA,**,2016,2.5,Discreet
Brunch restaurant,AL,****,2015,3.0,Discreet
Food bank,WA,*,2017,4.362759863087732,Recommended
Lawn equipment rental service,NH,**,2016,3.5,Discreet
Japanese restaurant,NH,**,2018,4.349741286795933,Recommended
Caterer,NH,***,2016,3.4166666666666665,Discreet
Shipping service,AL,**,2020,3.259262533528978,Discreet
Gift shop,NM,****,2020,3.727272727272727,Recommended
Handyman,MS,*,2020,3.0,Discreet
Mattress store,WA,***,2017,3.62962962962963,Recommended
Candy store,WA,***,2018,4.557574646647217,Highly recommended
Sushi restaurant,AL,*,2019,4.232594624596347,Recommended
Auto repair shop,NM,*,2016,2.475,Discreet
Pizza delivery,AL,**,2016,4.274550011392116,Recommended
Video store,Unknown,**,2018,4.08835904628331,Recommended
Hungarian restaurant,WA,**,2017,4.304347826086956,Recommended
Sporting goods store,NM,**,2018,4.461538461538462,Recommended
Costume store,NM,**,2017,3.5416643831445622,Recommended
Oil change service,WA,*,2018,3.418175253594641,Discreet
Coffee store,NH,*,2018,3.354547495565883,Discreet
Eyebrow bar,WA,**,2017,5.0,Highly recommended
Lounge,WA,**,2018,4.24657480247376,Recommended
Ready mix concrete supplier,NH,*,2020,4.7,Highly recommended
Auto repair shop,AL,*,2017,3.342424242424243,Discreet
Southern Italian restaurant,WA,***,2020,3.526315789473684,Recommended
Coffee shop,Unknown,*,2018,3.756143166941498,Recommended
Clothing store,WA,****,2015,1.75,Not recommended
Women's clothing store,MS,***,2020,4.464064864453393,Recommended
Second hand store,WA,*,2015,3.8829365079365084,Recommended
Liquor store,NM,*,2021,4.562896235524755,Highly recommended
Tool store,NH,*,2017,3.9801838087427486,Recommended
Party store,MS,**,2018,3.746516182230468,Recommended
Molding supplier,MS,*,2018,3.0,Discreet
Pub,NH,***,2019,4.373134328358209,Recommended
Fish & chips restaurant,MS,**,2018,3.983050847457627,Recommended
Italian grocery store,NH,**,2016,4.484848484848484,Recommended
Art museum,MS,**,2020,4.529411764705882,Highly recommended
Art gallery,WA,***,2017,4.407692307692308,Recommended
Furniture rental service,AL,**,2021,4.629387571492835,Highly recommended
Pasta shop,MS,**,2018,3.83423197492163,Recommended
Linens store,NM,**,2021,4.124345834825158,Recommended
Pizza restaurant,WA,***,2021,4.728062403697997,Highly recommended
Lawn mower store,NM,***,2018,4.242063492063492,Recommended
Vitamin & supplements store,AL,*,2016,3.832258064516129,Recommended
Hunan restaurant,WA,**,2021,3.3523809523809525,Discreet
Bait shop,AL,**,2018,4.3641898279447915,Recommended
Home audio store,WA,****,2017,4.777777777777778,Highly recommended
Hat shop,NH,**,2015,4.0,Recommended
Copy shop,NM,**,2021,3.8185185185185184,Recommended
Marketing consultant,NM,**,2018,4.68952380952381,Highly recommended
Goldsmith,WA,***,2016,2.8275641025641027,Discreet
Television repair service,WA,**,2020,2.075,Discreet
Chinese food,WA,**,2019,4.093117408906883,Recommended
Sports bar,NM,*,2019,4.06886060937785,Recommended
Asian grocery store,WA,**,2019,4.506662822091407,Highly recommended
Produce market,AL,**,2021,4.482409063804412,Recommended
Movie rental store,MS,*,2020,4.109243697478992,Recommended
Women's clothing store,NM,***,2017,4.001897601145722,Recommended
Forklift rental service,NM,*,2015,5.0,Highly recommended
Garage builder,AL,*,2015,1.0,Not recommended
Buffet restaurant,MS,*,2015,3.552920634920635,Recommended
Concert hall,WA,**,2020,4.060409107402032,Recommended
Chinaware store,NH,***,2019,4.545454545454546,Highly recommended
Goldsmith,AL,***,2021,3.8618404542317584,Recommended
Children's clothing store,NM,***,2015,3.96,Recommended
Taco restaurant,WA,***,2020,2.75,Discreet
Wicker store,MS,**,2016,4.8,Highly recommended
Produce wholesaler,NH,*,2021,4.588653398811062,Highly recommended
Pasta shop,NM,**,2015,3.6898148148148144,Recommended
Puerto Rican restaurant,WA,**,2020,3.94332592226614,Recommended
Mexican goods store,NM,*,2018,3.5,Discreet
Auto parts store,NH,**,2021,4.75,Highly recommended
Catering,AL,*,2018,4.695652173913044,Highly recommended
Noodle shop,AL,**,2015,4.210714285714285,Recommended
Furnace repair service,Unknown,**,2018,4.194055944055943,Recommended
Chinese restaurant,NH,**,2016,3.8679164317519024,Recommended
Cookie shop,NM,**,2019,4.6118421052631575,Highly recommended
Wedding store,WA,**,2017,4.069496841812261,Recommended
Beauty supply store,NM,***,2017,3.2627272727272727,Discreet
Trucking company,NM,**,2019,3.4958936615186618,Discreet
Jewelry repair service,NH,***,2017,2.507407407407408,Discreet
Outerwear store,WA,***,2016,4.3584905660377355,Recommended
Record store,WA,***,2017,3.6045000000000003,Recommended
Window treatment store,WA,**,2021,4.415012435821259,Recommended
Hawaiian restaurant,NM,*,2020,4.723404255319149,Highly recommended
Shoe store,AL,****,2021,3.7333333333333334,Recommended
Party store,NM,*,2015,4.1819444444444445,Recommended
Coffee shop,AL,*,2015,3.1036122556325076,Discreet
Oyster bar restaurant,MS,**,2017,4.36103187625212,Recommended
Hearing aid store,WA,**,2019,4.875,Highly recommended
Oyster bar restaurant,WA,**,2018,4.500504101588477,Highly recommended
Bank or ATM,NM,**,2018,3.107142857142857,Discreet
Electronics repair shop,MS,**,2016,4.954022988505748,Highly recommended
Auto repair shop,NM,*,2015,2.7333333333333334,Discreet
Rest stop,AL,**,2017,4.340425531914893,Recommended
Contractor,MS,*,2020,3.0,Discreet
Call center,WA,**,2021,5.0,Highly recommended
Christian book store,NM,**,2016,4.25,Recommended
Landscaping supply store,MS,***,2017,4.84375,Highly recommended
School supply store,AL,*,2021,4.115748102747708,Recommended
Department store,AL,*,2019,4.112769542891028,Recommended
Optician,AL,*,2018,3.946969696969697,Recommended
Wedding venue,NM,*,2021,4.864864864864865,Highly recommended
Farmers' market,NM,**,2019,4.373669623059866,Recommended
Silversmith,WA,***,2019,4.0485547644508255,Recommended
Taco restaurant,MS,**,2017,4.366263037308833,Recommended
Day spa,WA,**,2016,4.430021367521367,Recommended
Sandwich shop,AL,**,2018,4.259244836321664,Recommended
Golf driving range,NH,*,2020,4.611111111111111,Highly recommended
Live music bar,NM,***,2020,4.346153846153846,Recommended
Home goods store,WA,****,2020,5.0,Highly recommended
Mexican grocery store,WA,**,2020,4.472234416154522,Recommended
Ammunition supplier,NH,**,2017,4.333333333333333,Recommended
Home automation company,WA,**,2021,3.0128205128205128,Discreet
Office furniture store,AL,***,2019,4.657582213704663,Highly recommended
Belgian restaurant,WA,**,2019,4.292476647311285,Recommended
Pizza,WA,*,2016,4.107142857142857,Recommended
Venezuelan restaurant,WA,*,2021,4.755681818181818,Highly recommended
Delivery service,WA,***,2019,4.4980237154150196,Recommended
Authentic Japanese restaurant,WA,**,2020,4.451120131011736,Recommended
Bedding store,MS,***,2015,1.0,Not recommended
Photocopiers supplier,AL,**,2019,1.0,Not recommended
Delivery service,NM,*,2019,4.305302379677687,Recommended
Cheesesteak restaurant,NM,**,2017,4.415730337078652,Recommended
Down home cooking restaurant,MS,*,2016,5.0,Highly recommended
Men's clothing store,Unknown,***,2018,4.207792207792208,Recommended
Video store,WA,**,2018,4.062740503618864,Recommended
Gastropub,MS,**,2017,4.736263736263735,Highly recommended
Movie theater,WA,**,2021,5.0,Highly recommended
Electrical repair shop,NM,**,2020,4.5,Recommended
Chicken wings restaurant,AL,*,2015,2.9991063316528423,Discreet
Photo lab,AL,*,2021,3.5,Discreet
Shipping and mailing service,WA,**,2018,3.5054867660439997,Recommended
Contemporary Louisiana restaurant,NH,**,2021,4.5,Recommended
Pizza delivery,MS,**,2017,3.5682997044583544,Recommended
Data recovery service,NH,**,2019,4.3999999999999995,Recommended
Coffee store,NM,*,2017,4.584385382059801,Highly recommended
Tanning salon,WA,*,2021,4.769230769230769,Highly recommended
Cooking school,NM,**,2018,4.050632911392405,Recommended
Shipping company,NM,**,2015,2.935185185185185,Discreet
General store,NM,**,2015,1.0,Not recommended
Musical instrument rental service,WA,*,2019,4.032258064516129,Recommended
Roofing contractor,WA,**,2016,2.5,Discreet
Tool store,NH,*,2020,4.174814106454948,Recommended
Fast food restaurant,NH,*,2018,3.65589713919781,Recommended
Cutlery store,NH,**,2018,4.230789889419206,Recommended
Brewing supply store,WA,**,2019,4.596082209377007,Highly recommended
State park,AL,**,2021,4.916666666666667,Highly recommended
Convenience store,NH,**,2016,3.8500852514918997,Recommended
Book store,NM,**,2018,4.30869288597542,Recommended
Vegan restaurant,AL,**,2021,4.322406644460553,Recommended
Dart supply store,MS,*,2020,4.666666666666667,Highly recommended
South Asian restaurant,NH,**,2015,3.3333333333333335,Discreet
Gift shop,MS,***,2018,4.52914944080952,Highly recommended
Tack shop,AL,**,2016,5.0,Highly recommended
Lunch restaurant,AL,*,2016,3.505930315410981,Recommended
Sign shop,NM,**,2016,3.6603741496598636,Recommended
Ready mix concrete supplier,NH,*,2015,4.5,Recommended
Diesel fuel supplier,WA,*,2019,2.7458333333333336,Discreet
Construction equipment supplier,WA,**,2018,4.586309523809524,Highly recommended
Window treatment store,NH,***,2018,5.0,Highly recommended
Frozen yogurt shop,WA,*,2017,4.27683998580731,Recommended
French restaurant,WA,****,2016,4.888888888888889,Highly recommended
Breakfast restaurant,AL,*,2018,3.862504137774629,Recommended
Discount store,AL,**,2020,4.114638132638746,Recommended
Public bathroom,AL,**,2016,4.75,Highly recommended
Outlet store,NH,***,2016,2.75,Discreet
Glass etching service,MS,**,2016,5.0,Highly recommended
Plus size clothing store,MS,***,2015,3.6,Recommended
Cupcake shop,WA,**,2015,4.181727994227994,Recommended
Stationery store,MS,**,2015,3.0254901960784317,Discreet
Decal supplier,WA,**,2018,4.882352941176471,Highly recommended
Garage builder,AL,*,2020,2.916666666666667,Discreet
Karaoke bar,NH,**,2017,4.204769736842105,Recommended
